1000 5000
242 764 62044826
449 980 189333597
548 417 802120551
912 134 272724646
622 917 477135216
801 789 365631637
817 422 319635538
598 703 669928564
703 416 68818535
493 403 220002271
100 267 949065848
451 530 834480924
792 737 720859459
239 26 703039666
54 636 51662624
44 856 671830698
157 809 670660030
720 818 491129818
616 317 634568243
802 6 942508714
605 890 821083932
18 249 962105556
50 591 637227289
228 372 657825851
211 59 552677981
405 338 467768377
803 609 8865448
343 184 848318652
589 291 381202295
498 840 750979391
712 931 936930160
925 511 51124706
757 308 999352706
166 839 293893421
412 726 461094349
447 194 750776438
23 435 159908429
714 750 834519159
241 642 732298403
563 482 914633067
765 921 768441421
557 770 862189500
735 128 593281641
700 500 755272829
773 943 322668696
687 985 950723349
290 267 95685452
678 659 691598123
315 997 392583377
214 492 976366921
208 153 510418111
171 585 500839392
592 711 772995025
834 829 17880117
974 508 957961820
61 741 795228966
883 252 812693849
63 255 170783042
294 516 710878585
314 292 891452515
42 197 355813473
715 878 397649685
406 618 727129139
549 577 740615063
738 151 419463564
691 647 385117267
238 983 570980241
703 689 366117253
207 632 303821870
24 877 111321168
67 620 202229484
621 204 776314953
643 299 135946044
3 888 880760777
202 758 661882593
681 517 246149722
703 42 745510290
687 263 591877154
389 835 401213025
407 298 681096608
188 931 18959135
156 317 419239986
416 738 375100172
950 59 767787818
728 321 395884415
757 508 464589542
316 225 869896486
261 416 34875812
955 36 240139104
348 361 892049832
450 832 46173604
721 487 648190892
568 144 961263835
393 876 597301441
259 290 607143393
517 587 938862524
232 942 299461532
319 882 461036824
832 689 79612161
971 554 52949260
19 862 122605721
316 692 596937010
1 273 654517493
217 552 233454309
698 997 528395199
122 831 519024783
871 6 690703287
472 504 20298622
812 589 40550056
120 209 454262945
212 500 249073023
471 194 605996278
966 945 93074115
50 994 388771321
783 632 806236765
747 474 967743518
43 987 231885241
252 142 84429628
780 450 753534455
274 334 758437242
274 207 87279297
937 637 133191402
500 178 847258396
461 195 854239152
565 573 667306640
206 979 973081637
539 600 63657729
136 635 655185042
479 201 336908840
281 156 268651444
988 363 103829199
47 525 907613234
890 946 154394710
311 224 548326357
199 636 443339025
816 90 519336189
157 10 191817026
527 868 615754917
953 15 11739279
310 225 76076658
762 293 590823073
383 261 712014816
571 27 227753503
162 928 172528904
559 646 947698576
324 491 905960225
971 962 968686174
52 17 130997114
401 224 76593244
729 896 655197536
334 626 53778583
861 646 587175141
424 308 592371297
727 732 825084940
320 319 901349892
227 807 680819783
177 267 726795815
180 715 866685820
996 352 627548386
654 862 12330825
204 618 340402356
514 750 300247036
63 178 392588910
831 982 480588771
3 439 50430214
741 626 528342066
414 334 913112680
134 647 131742553
53 129 942940076
211 552 836698049
923 635 541004890
514 805 41562449
616 907 154730351
366 419 785414632
389 667 161417885
407 443 123607011
751 475 398774853
508 609 262780812
974 376 215869470
279 359 769942264
624 965 951883216
990 703 815239235
927 805 439199614
122 635 93312275
856 128 125153914
787 203 496186857
421 898 347367095
637 781 9539907
753 191 910403462
931 875 243829435
363 241 251102781
619 228 831692150
26 406 178470504
323 408 987316795
486 596 603172043
216 59 895369709
408 636 483171416
588 990 952403344
162 435 270824422
828 832 485512832
336 862 210685541
335 621 810837068
363 965 188870561
620 513 810138427
324 128 258721655
754 52 825896629
123 910 154944514
981 822 476895448
736 329 249596868
635 875 823227488
537 265 786261659
88 750 739827937
646 417 258555962
345 412 825359031
790 128 773450963
260 44 481653318
390 749 812442916
357 994 112579852
737 812 450328943
365 56 903692035
889 117 535004476
402 204 65248118
335 364 504737444
144 263 253771266
445 304 50870389
56 210 212210836
135 735 322680829
565 510 252735481
225 156 967723792
284 324 233300335
603 175 999541231
8 79 494413029
858 76 509705729
874 215 692761705
279 197 223746831
74 364 379579020
842 85 839358304
426 514 177486016
418 429 996497682
981 376 676339417
911 111 332834863
486 934 758023292
932 587 254651202
86 120 620874335
639 848 998584447
393 214 778234793
603 951 28883463
12 917 497619301
616 903 287046151
436 596 841248810
897 180 796366293
364 221 59558342
108 70 754871336
757 415 415452132
93 255 253263004
47 488 396953989
150 403 654714850
368 400 718478037
357 310 533095104
576 942 726043915
919 61 63152489
365 620 91250474
586 997 273205061
562 211 425221207
657 452 969798493
975 839 565692052
412 132 948366609
577 903 408509228
429 831 44626436
936 850 714569614
96 443 345459045
697 517 728934018
544 681 405010978
785 356 773778754
846 68 876612083
366 611 146223748
167 78 228468201
271 204 167701139
980 420 589237133
380 685 291007761
231 181 208941482
309 271 869090905
660 107 330553887
167 420 702758607
373 59 375523813
508 740 876461581
476 317 139147079
688 144 595260630
26 635 682130072
834 76 352538655
435 776 793451064
62 68 270354168
536 327 737803363
407 250 562382935
138 757 990588772
507 476 731582858
158 488 228919150
912 118 613854762
158 328 768551219
211 118 881148933
883 600 982630686
362 485 212419964
712 977 181962436
529 787 221864085
611 898 762038747
148 17 85888168
703 849 71573846
522 889 851533870
651 997 999465151
912 481 324544012
86 827 7153805
209 452 516658741
45 369 649154747
116 246 661720338
230 848 469581169
598 491 769077821
436 524 198829797
845 371 68453328
895 644 498570348
72 180 243123996
526 141 964100239
801 896 894122588
564 234 677603932
694 421 490645742
910 468 224799883
539 215 144754945
1 133 608418380
486 315 897447524
66 7 542605205
993 52 510415814
196 191 190721935
383 692 800830883
694 228 589662200
399 338 503186423
372 685 394379028
263 644 704874641
356 525 772863806
361 808 693282798
954 511 313794427
650 563 7949970
728 288 563137133
582 417 802733050
944 148 225897613
706 59 754190977
472 572 537642312
258 152 84487606
742 483 452974044
961 435 824861485
931 327 913356333
924 334 400260565
985 468 870926137
21 75 311090397
921 535 754399374
64 963 857197790
799 600 193721870
258 762 506607746
539 979 495133017
657 917 795989147
545 116 979864620
513 351 852342840
267 281 843213298
22 540 869106686
429 906 819331692
8 601 243025639
184 111 491270338
511 831 400328564
973 856 351942630
307 475 422705630
657 776 828109296
831 802 649407987
555 305 14122940
510 644 131768500
986 611 601032960
394 417 433243552
462 207 918155500
796 638 638645796
456 932 918753318
187 255 161846493
907 477 508268980
298 982 667551583
416 118 170917513
54 31 988617406
969 746 248646656
865 134 531527450
818 376 422923085
855 421 623518587
732 823 477475312
127 849 685078211
911 88 409681269
759 412 131218600
990 351 676734253
175 90 862310839
906 315 99254333
570 731 53820496
715 997 869406332
945 210 332009342
177 107 932977651
630 612 189937469
635 809 496736266
162 898 753659799
983 549 882929809
929 573 832418428
662 810 471729441
286 176 937264417
618 416 855188111
679 279 331771907
173 416 79022026
192 502 215012896
388 304 842720437
641 805 282433866
546 88 275931328
772 168 129913588
979 862 318938115
773 940 286381651
363 257 13896599
371 726 64529425
915 162 278302088
64 231 22620923
877 689 97800156
503 865 274616800
617 594 778033345
824 872 912428557
188 628 571707231
573 928 70335534
32 868 2664359
97 152 655378654
59 477 296280299
225 59 868069188
912 315 818048691
409 412 634695816
512 176 721871664
368 602 550660619
392 499 414599301
29 326 925370570
564 305 155114108
353 198 368436978
275 205 931723012
931 254 433302278
370 79 598845558
652 373 939694853
281 950 709236906
715 907 96729552
924 783 141862541
946 60 809699283
424 241 655774583
951 602 861458651
978 169 905695971
65 281 615596442
482 416 305816279
337 622 306002305
476 252 786918229
118 209 392820486
284 83 65825109
397 666 456045257
993 252 428879627
652 564 785222357
313 945 628141522
556 150 202679610
672 393 189997014
778 612 376535433
291 626 489319480
795 65 833923841
7 924 764443263
7 120 558370200
576 108 921225252
847 191 370857421
640 977 335428828
300 649 627535172
289 805 378127015
73 867 522451264
411 464 912499471
71 153 337173332
652 407 675634800
51 81 283663602
924 292 409948069
549 553 786446941
973 910 103836062
402 616 853298416
748 651 129531498
192 431 404340244
684 943 815495866
468 482 714936427
378 766 985601871
171 167 675291243
948 267 569914232
881 795 766042812
243 231 870403171
567 676 915289826
347 846 939956383
599 472 706219907
862 452 674782074
201 641 225538094
434 500 837076207
507 44 667918712
410 200 480845392
320 278 808499319
689 928 868212610
318 207 785905434
726 268 476051111
909 861 601968717
805 869 935013624
469 361 386123195
226 621 915945873
350 155 250350334
777 621 361692020
315 764 135482457
563 644 974709435
316 977 670123437
105 10 441583031
224 632 839973298
786 1000 293872143
427 421 501099035
901 122 852816851
217 750 370543435
201 57 511439840
846 494 560077025
234 830 132471865
546 160 749318491
383 915 196470688
251 73 501423032
536 315 27052033
779 52 237797348
833 347 327928876
16 997 766936283
631 476 997646398
872 50 239680909
59 495 471306393
866 923 102686801
728 327 372612186
443 587 348490237
57 591 145326605
294 788 959525601
101 85 882426880
833 180 348363378
85 317 109880295
310 156 822644900
243 707 755861155
114 361 814960705
593 898 42336468
779 82 720511965
963 540 981736153
951 200 681903097
575 37 906560686
691 518 976586119
625 554 798299103
708 947 845711755
458 500 429496227
752 7 344129750
773 252 472038047
358 714 403000652
792 206 464021317
583 299 142855860
282 979 750471601
867 203 539008313
666 108 48199408
965 848 905684838
616 878 958722828
279 226 718455775
88 753 871249704
942 76 136859977
174 592 187529954
1 96 970738159
299 148 799410749
488 434 523536928
934 504 30640499
727 153 265103288
787 764 522878916
103 626 853984372
749 715 596381009
9 271 408601214
792 485 587103230
792 682 154793973
479 647 692324883
400 864 320422380
197 151 84351121
902 606 612231513
954 873 326868537
234 299 340478111
40 267 638102464
479 306 946652530
52 480 358295013
655 851 606085934
406 137 747549426
449 638 400631819
499 447 855027796
119 990 93763313
483 719 421111606
445 655 943587816
368 805 885759451
